track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,hankel_window,lambda_value,pcp_iterations,pcp_final_rel_error,pcp_estimated_rank,reconstruction_error
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.15101434598833,0.09355923645040115,3.2912332407053104,3.2925627671236226,184.200835749587,0.8283284551531561,0.9351993930122977,36.17399304681375,lowrank_sparse,96,0.00603967814687968,18,7.644467656544193e-06,2,6.399438485862884e-06
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.40837535579889,0.012590711398942021,0.5842227258665872,0.5843583827006479,22.945485133634065,1.0190815315962412,1.0860435457743236,18.20814055265751,lowrank_sparse,96,0.00672520657209566,18,8.623583371945674e-06,2,6.3288195168537875e-06
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.22408449111037,0.29744347661956755,7.52022450601952,7.526104519784462,359.29688918914326,0.9830823376111104,2.6112555647661915,109.21358163476962,lowrank_sparse,96,0.006711409395973154,19,9.588885729618558e-06,2,7.859322936704681e-06
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.28034620530033,-0.02585282273216483,3.273570565279099,3.273672649228224,125.51648456054681,1.0813028098455126,3.3199132325435903,101.1087698351154,lowrank_sparse,96,0.010762647825142236,22,9.731057876048003e-06,3,8.019756267128866e-06
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.12812296113364,0.004452773999048751,0.46075020640600983,0.460771722113529,13.46952382280142,0.8972753265645773,0.8405500579519027,13.772942398750677,lowrank_sparse,96,0.005992753150382731,18,9.933974399296358e-06,2,7.110203719338446e-06
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.07523368233052,-0.10849567769631764,2.9625110253815974,2.9644970716103445,116.81598413292522,0.9518722335275824,1.4744874951194675,36.09132527164903,lowrank_sparse,96,0.006847227425667958,18,9.388734881980986e-06,2,7.5595083531186095e-06
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.96864981211278,0.004721370904410059,0.9491496327747894,0.9491613754993059,16.84784289930394,0.9315072913906318,0.874692100604379,8.081757873704682,lowrank_sparse,96,0.02330628783587717,25,1.3495946011701275e-05,5,1.1258552536588787e-05
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.73579124237813,0.0845343628723576,3.5507219989547463,3.5517281388596484,199.8837131778928,1.0261905325045155,2.7509874765661873,130.42048911486842,lowrank_sparse,96,0.007081520769751129,18,9.786453888509632e-06,2,7.963677533905318e-06
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.797826474375036,0.10566929911949487,2.1775236204352697,2.1800860346165076,30.326837992834044,1.078671491087947,1.4944830804462144,20.762469572315926,lowrank_sparse,96,0.01761721408605633,25,1.0819896901732673e-05,5,9.31849206417312e-06
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.30448555533879,0.05163296588937495,1.0387543409831856,1.0400367993864188,29.296734542273043,0.7924874104658628,0.7100412425402484,9.838069389861431,lowrank_sparse,96,0.00719405843472514,18,8.109475925737422e-06,2,6.712189340287688e-06
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.933674366662935,-0.04961398296529323,1.4693301865739117,1.4701675906110183,12.16270588828047,1.0002165142772628,1.0653986792262964,9.864768773854143,lowrank_sparse,96,0.024768870230903496,25,1.4349360160334053e-05,6,1.2318255614994447e-05
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,70.97107632358609,-0.00022684197921525278,0.9885360336286728,0.9885360596556869,15.400093622054555,0.8939321640793514,0.905729932241753,8.963885124300198,lowrank_sparse,96,0.027297554521630706,25,1.8933109477520592e-05,5,1.687673842324827e-05
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.790297203434415,0.039782959381745704,0.6151272496594491,0.6164123758741122,11.424862101885083,0.8642976182615709,0.7586944121988012,8.633315207567097,lowrank_sparse,96,0.01211609529181641,23,6.858276038965993e-06,2,5.44420008209072e-06
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.39531912637594,0.04444173800566126,0.9604730320387035,0.9615006569683582,21.858546816016315,0.883314512455733,1.1948420123573427,23.475333695610445,lowrank_sparse,96,0.014137894891278046,25,9.383927567474848e-06,4,8.33364304471506e-06
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.07044599988318,-0.042147369503417076,1.1934797347386907,1.1942237135428158,17.192903833863966,0.9726198226903626,1.2515522027832537,20.236522335219135,lowrank_sparse,96,0.014167660405476751,25,8.582821465509471e-06,5,7.445692924260369e-06
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,39.96131797039312,0.03418090361975606,1.9685325457207505,1.9688292759236596,16.85098336583178,1.0800863162360674,1.2084955320983886,8.513763341036464,lowrank_sparse,96,0.0297219149138882,25,1.794920740172508e-05,5,1.583337257340542e-05
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.03998215667508,-0.010321794892877701,0.8716039310137433,0.8716650457649548,27.78573169021547,0.7502497000471118,0.6241492053592765,8.12510289762446,lowrank_sparse,96,0.006182623917080622,18,7.071799240536568e-06,2,5.219982574712271e-06
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.52370083432278,-0.0217101885334077,0.8231296693829468,0.8234159246120005,35.54141742419597,0.925484924146041,0.9485513857740749,22.1003569958975,lowrank_sparse,96,0.006259911221316611,19,7.414666740767835e-06,2,5.979815771371259e-06
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52585688467104,0.005087745734792423,0.526799032462856,0.5268236002311047,17.39456034127943,1.1525897639899154,1.7446304844164258,32.47188026118678,lowrank_sparse,96,0.00608479214697427,18,7.85635882538313e-06,2,4.957466869609697e-06
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.87205265565208,0.051438015912039746,1.9627848003616772,1.9634586937370992,60.683225431639585,1.0503891255807396,1.9731937071029784,52.43074546802776,lowrank_sparse,96,0.012494144741657035,24,8.370905953186345e-06,4,7.067952115900742e-06
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.62179469571299,0.03629210434603814,0.8704452851169641,0.8712015330681051,12.995673100755084,0.9477747263379477,1.028250123183874,12.311989679179888,lowrank_sparse,96,0.012185158984614301,23,9.721527319346163e-06,4,8.262169014795403e-06
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.39332630014951,0.166231458973586,6.814427080583175,6.816454308109003,290.9382905958628,1.627352207395464,15.285652930062787,348.89619227091896,lowrank_sparse,96,0.016183857208774653,25,9.874956618922654e-06,4,8.856402030616529e-06
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84879894899869,0.01315432093281876,0.6378073387444975,0.6379429735607577,28.807250074089097,0.8230581179837684,0.7950780433387974,23.550189943135514,lowrank_sparse,96,0.006097901067321419,18,6.997208728921704e-06,2,5.550523456921255e-06
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.82531822819915,-0.01195813085348935,0.9720790645367646,0.9721526138442361,36.34327587830194,1.2554165048918633,2.4579990371818767,60.88418983126646,lowrank_sparse,96,0.005885204596220405,17,9.039467850819566e-06,2,6.709929210860942e-06
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.12207207006746,0.012147879147761168,0.7824378588081955,0.7825321551630593,32.20899025994731,0.9697860929997684,0.8940851332893768,10.526713653826166,lowrank_sparse,96,0.006333555363527008,18,8.588155142954696e-06,2,6.725259148345135e-06
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.90634257356226,0.0330893044512466,1.9266385616399746,1.9269226889699589,82.09617729803722,0.8187268279941454,0.8403371999827436,23.834965692225435,lowrank_sparse,96,0.007297520650689985,18,8.501563902015633e-06,2,6.710813608893688e-06
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.00922907106259,0.15068406048832853,4.213885698775638,4.216578988757484,162.70542433140508,0.8782429049474998,1.0237774040967706,27.151141017992135,lowrank_sparse,96,0.006065844220905834,18,7.995823464631782e-06,2,6.442431533217639e-06
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.73582148138702,0.04233701329366373,1.0524983235876397,1.0533494879902967,34.77331694652821,0.886030904514177,0.9545805354183723,22.614698194972092,lowrank_sparse,96,0.006569428819892687,19,8.220728225246516e-06,2,7.004122296386337e-06
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.906966591759804,-0.003097212836428203,0.5250965233269527,0.5251056574989524,15.354009179289278,0.6927899684878351,0.5718742678948735,12.712516600174018,lowrank_sparse,96,0.006420554017553639,19,6.088917236887412e-06,2,5.243657856744655e-06
