track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,background_window,background_method
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.15659122369583,0.08956855938047249,3.4492261471896484,3.4503888971080117,188.75,2.2227707416115052,4.809262707168442,63.54460624521237,highpass,301,median
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.40438189577369,-0.012371470389584699,0.7566356716890857,0.756736805601521,23.810499999999593,2.8195970228974447,11.760090593641618,256.03615520406106,highpass,301,median
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.209143628656776,0.2895949497667721,7.760594698636483,7.765996092674467,365.453499999996,8.190438948528396,181.89267276559673,9271.835980046453,highpass,301,median
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.32130085705744,-0.13239931828594734,3.3405580077051242,3.3431807283372246,128.8969999999972,3.076417002692761,23.696961613659077,803.1774392356014,highpass,301,median
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.1383011952524,0.012292242304974206,0.6117935719365775,0.6119170482049021,14.021999999997206,1.9477087834784896,4.7329999534391805,79.73505319934007,highpass,301,median
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.07562297754966,-0.10948264796493865,3.1304973385356165,3.132411217701787,118.30199999999604,3.3796239311647014,16.993796655213032,660.7962911221944,highpass,301,median
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,51.10824677874427,0.7800506198342296,7.988436892316395,8.026431520422097,56.98150000000169,7.475747743999698,25.318262448932863,196.10629143823164,highpass,301,median
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.734989835522256,0.061623926931504015,3.583833555394054,3.5843633271668836,200.57850000000326,1.97324064414837,6.8552956354035475,123.67192769273275,highpass,301,median
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.67264277323046,0.002701839011327807,2.8297620823320178,2.829763372181158,32.55949999999575,6.041562376108489,15.966963530951087,115.88589226542007,highpass,301,median
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.29323730506003,0.028762205798893947,1.2694019148464988,1.2697277211663829,32.90400000000227,2.9738183133634406,5.786184380373978,52.550073647633546,highpass,301,median
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,52.11785701814548,-0.09496000000037358,8.379302072013498,8.379840130673722,60.32650000000285,7.776214287228208,19.145350832506193,101.55532200037624,highpass,301,median
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,69.4601907761066,-1.4790539318023987,5.071371605371985,5.282651842867685,22.552499999997963,23.68295105337275,67.63697270085,437.00133200386455,highpass,301,median
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.792479241807598,0.038668307514209126,0.8017457073936843,0.8026776546847513,12.601999999998952,2.782733269771202,4.723049922182357,60.577291171070335,highpass,301,median
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.37759554151154,0.009200912122406651,1.119272026505177,1.119309843654066,24.220000000001164,1.7978024024098656,4.9986407896976575,88.21871308870055,highpass,301,median
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.26430514905117,-0.1987081938155194,2.4181359569187997,2.426286556125023,30.57800000000134,3.3699984780354106,4.861470655633015,37.87633050439342,highpass,301,median
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,30.259582796301586,2.4655244498778086,14.385506987977456,14.595260261951259,73.12199999999575,8.052473212396453,13.90591790662094,87.73109132011491,highpass,301,median
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.034575105521526,-0.04964418609059882,1.3430477166462869,1.3439649230546915,38.96950000000652,5.082136472803723,33.82661584069993,1080.3832589459043,highpass,301,median
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.52359046387871,-0.031074422190989007,0.9441273601717723,0.9446386038795066,36.642500000001746,2.4369206904902594,6.519346342681876,101.39051808535508,highpass,301,median
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52235993967379,-0.018880534238533794,0.7281167580023151,0.7283615090440558,19.59900000000198,5.29542533144311,29.61621815800936,1080.0459718791235,highpass,301,median
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,46.09519824099693,-0.2441382864175028,3.3888554683763537,3.3976381338275545,59.93649999999616,4.128165230330169,11.786341961422758,254.66932862788957,highpass,301,median
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.63696040062358,-0.11560413616390973,2.2242516293301606,2.227253830814099,16.315999999998894,4.4375328267304885,6.966602875813491,72.66291049886745,highpass,301,median
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,51.85649262938389,-0.2506783797601146,7.260268305006738,7.26459465564078,290.0665000000008,4.312922835154774,12.429264040041684,153.76521626322057,highpass,301,median
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84676059629707,0.010194743960382486,0.835743144741806,0.8358053223013963,30.272500000006403,3.182746297326922,15.797214693916793,495.1684212321382,highpass,301,median
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.98215375360438,-0.08460379915074513,1.911784143929798,1.9136552499894364,58.66350000000239,10.516011467282281,105.70254843268899,3350.7196610950277,highpass,301,median
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.11395444239899,-0.011840463155339343,0.9143318887146996,0.9144085516268549,30.92949999999837,4.023477199646268,20.946187012487993,699.9801184672201,highpass,301,median
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.89818685606033,-0.006819821967929631,2.0561190141211565,2.056130324226126,82.44350000000122,8.267331132543061,51.78833640427645,1333.9752842699406,highpass,301,median
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.00315189871782,0.15313454698775128,4.566277800404783,4.568844836493213,171.58550000000105,4.919649327690971,35.06946661139439,3029.905227299405,highpass,301,median
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.70783972064409,-0.007814579214317517,1.2155940238829008,1.215619142062233,37.66900000000169,2.472884425974587,6.086402900661463,74.66199753891206,highpass,301,median
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.897099497771165,-0.02209495750022947,0.6853069234581667,0.6856630123366977,15.920500000000175,2.553430564589859,5.436329639403275,97.84286250999251,highpass,301,median
